Block Name,Point ID,Points_X,Points_Y,Points_Z,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,5107,-2.69696,-2.24384,-0.681951,3.574,104865137,23024,3.574,1,4,104865137,-11
dataset_1,5121,-2.68359,-2.2169,-0.676609,3.546,104865193,23044,3.546,2,4,104865193,-11
dataset_1,5135,-2.67158,-2.19134,-0.671648,3.52,104865248,23064,3.52,7,4,104865248,-11
dataset_1,5148,-2.6716,-2.1758,-0.66974,3.51,104865303,23084,3.51,2,4,104865303,-11
dataset_1,5151,-2.76754,-2.25072,-0.437998,3.594,104865313,23088,3.594,1,8,104865313,-7
dataset_1,5161,-2.64254,-2.13683,-0.660581,3.462,104865359,23104,3.462,1,4,104865359,-11
dataset_1,5163,-2.67651,-2.16276,-0.545018,3.484,104865363,23106,3.484,1,6,104865363,-9
dataset_1,5165,-2.69815,-2.17869,-0.425811,3.494,104865368,23108,3.494,2,8,104865368,-7
dataset_1,5175,-2.62702,-2.10916,-0.654856,3.432,104865414,23124,3.432,2,4,104865414,-11
dataset_1,5177,-2.66555,-2.13857,-0.541263,3.46,104865418,23126,3.46,1,6,104865418,-9
dataset_1,5178,-2.67786,-2.14691,-0.421424,3.458,104865423,23128,3.458,2,8,104865423,-7
dataset_1,5188,-2.61441,-2.08407,-0.649895,3.406,104865469,23144,3.406,2,4,104865469,-11
dataset_1,5190,-2.63592,-2.09971,-0.533754,3.412,104865474,23146,3.412,1,6,104865474,-9
dataset_1,5191,-2.6636,-2.12024,-0.418012,3.43,104865478,23148,3.43,1,8,104865478,-7
dataset_1,5199,-2.60012,-2.05787,-0.644553,3.378,104865524,23164,3.378,2,4,104865524,-11
dataset_1,5201,-2.61534,-2.06844,-0.528123,3.376,104865529,23166,3.376,1,6,104865529,-9
dataset_1,5202,-2.64295,-2.08877,-0.413625,3.394,104865534,23168,3.394,2,8,104865534,-7
dataset_1,5203,-2.71556,-2.14539,-0.302779,3.474,104865538,23169,3.474,1,10,104865538,-5
dataset_1,5210,-2.60111,-2.04393,-0.643026,3.37,104865580,23184,3.37,2,4,104865580,-11
dataset_1,5212,-2.61478,-2.0532,-0.526558,3.366,104865584,23186,3.366,2,6,104865584,-9
dataset_1,5213,-2.61587,-2.05258,-0.408262,3.35,104865589,23188,3.35,2,8,104865589,-7
dataset_1,5214,-2.65719,-2.08426,-0.295458,3.39,104865594,23189,3.39,1,10,104865594,-5
dataset_1,5220,-2.74375,-2.14134,-0.803525,3.572,104865630,23203,3.572,1,2,104865630,-13
dataset_1,5222,-2.58656,-2.01793,-0.637684,3.342,104865635,23204,3.342,2,4,104865635,-11
dataset_1,5224,-2.59389,-2.0222,-0.520927,3.33,104865640,23206,3.33,2,6,104865640,-9
dataset_1,5225,-2.62928,-2.04831,-0.409237,3.358,104865644,23208,3.358,2,8,104865644,-7
dataset_1,5226,-2.62673,-2.04559,-0.291274,3.342,104865649,23209,3.342,3,10,104865649,-5
dataset_1,5232,-2.76354,-2.1413,-0.807124,3.588,104865686,23223,3.588,1,2,104865686,-13
dataset_1,5234,-2.57496,-1.99446,-0.633104,3.318,104865690,23224,3.318,2,4,104865690,-11
dataset_1,5236,-2.57594,-1.99378,-0.515921,3.298,104865695,23226,3.298,2,6,104865695,-9
dataset_1,5237,-2.61286,-2.0209,-0.405581,3.328,104865700,23228,3.328,2,8,104865700,-7
dataset_1,5238,-2.60075,-2.01081,-0.287614,3.3,104865704,23229,3.3,2,10,104865704,-5
dataset_1,5244,-2.73701,-2.1055,-0.797227,3.544,104865741,23243,3.544,1,2,104865741,-13
dataset_1,5246,-2.56479,-1.9723,-0.628906,3.296,104865746,23244,3.296,2,4,104865746,-11
dataset_1,5248,-2.57035,-1.97515,-0.513418,3.282,104865750,23246,3.282,2,6,104865750,-9
dataset_1,5249,-2.58369,-1.98396,-0.399975,3.282,104865755,23248,3.282,2,8,104865755,-7
dataset_1,5250,-2.59037,-1.98838,-0.285697,3.278,104865759,23249,3.278,2,10,104865759,-5
dataset_1,5257,-2.74398,-2.09641,-0.797227,3.544,104865796,23262,3.544,1,2,104865796,-13
dataset_1,5259,-2.55727,-1.95306,-0.625472,3.278,104865801,23263,3.278,2,4,104865801,-11
dataset_1,5261,-2.55333,-1.94864,-0.508725,3.252,104865806,23265,3.252,2,6,104865806,-9
dataset_1,5262,-2.58236,-1.96937,-0.398757,3.272,104865810,23267,3.272,2,8,104865810,-7
